#...i    step           time                          C_v                     C_i                    C_2i                   rho_N                     C_I                     d_J
    39      380  3.800000000000003E-001     1.058254743804198E-001  1.590814946331605E-001  5.001849564761437E-001  1.049331073539084E+000  1.492500506043555E-001  1.433039041494062E+000
    40      390  3.900000000000003E-001     1.061592949313485E-001  1.585493849536895E-001  4.942808199258730E-001  1.045514237917350E+000  1.435273930608266E-001  1.462901842178092E+000
    41      400  4.000000000000003E-001     1.065548893496816E-001  1.580809606645969E-001  4.885739776124671E-001  1.041614905969046E+000  1.380531893227154E-001  1.493424685924832E+000
    42      410  4.100000000000003E-001     1.070047539345635E-001  1.576696169491690E-001  4.830576452901210E-001  1.037637578727277E+000  1.328171180186723E-001  1.524599593918778E+000
    43      420  4.200000000000003E-001     1.075022339249515E-001  1.573094435801549E-001  4.777253204975936E-001  1.033586566575045E+000  1.278094016261610E-001  1.556416644291945E+000
    44      430  4.300000000000003E-001     1.080414176546889E-001  1.569951520149389E-001  4.725707592177878E-001  1.029466003672772E+000  1.230207596890266E-001  1.588863757811080E+000
    45      440  4.400000000000003E-001     1.086170451177350E-001  1.567220100367821E-001  4.675879562505422E-001  1.025279860750822E+000  1.184423674483408E-001  1.621926493175966E+000
    46      450  4.500000000000003E-001     1.092244288323275E-001  1.564857831465979E-001  4.627711286240017E-001  1.021031956489556E+000  1.140658191409327E-001  1.655587854159079E+000
    47      460  4.600000000000004E-001     1.098593852235707E-001  1.562826820049844E-001  4.581147014885308E-001  1.016725967675698E+000  1.098830953360174E-001  1.689828111187547E+000
    48      470  4.700000000000004E-001     1.105181750194437E-001  1.561093153045502E-001  4.536132960357445E-001  1.012365438295196E+000  1.058865337773745E-001  1.724624640304638E+000
    49      480  4.800000000000004E-001     1.111974513853122E-001  1.559626475209904E-001  4.492617190671607E-001  1.007953787698361E+000  1.020688032798859E-001  1.759951782737669E+000
    50      490  4.900000000000004E-001     1.118942147147086E-001  1.558399610502496E-001  4.450549539049757E-001  1.003494317952460E+000  9.842288029758900E-002  1.795780728529080E+000
    51      500  5.000000000000003E-001     1.126057731558591E-001  1.557388222902691E-001  4.409881523938156E-001  9.989902204793020E-001  9.494202783791081E-002  1.832079427842175E+000
    52      510  5.100000000000003E-001     1.133297080894897E-001  1.556570512706598E-001  4.370566277889354E-001  9.944445820604163E-001  9.161977644518406E-002  1.868812533617177E+000
    53      520  5.200000000000004E-001     1.140638438881508E-001  1.555926944732475E-001  4.332558483648327E-001  9.898603902797497E-001  8.844990701736749E-002  1.905941379211057E+000
    54      530  5.300000000000004E-001     1.148062213842016E-001  1.555440005216595E-001  4.295814316099500E-001  9.852405384630460E-001  8.542643525428620E-002  1.943423994491301E+000
    55      540  5.400000000000004E-001     1.155550745556323E-001  1.555093984496088E-001  4.260291388991962E-001  9.805878301640089E-001  8.254359756466492E-002  1.981215163556740E+000
