#...i    step           time                          C_v                     C_i                    C_2i                   rho_N                     C_I                     d_J
   167     1660  1.659999999999928E+000     1.621491116759226E-001  1.623342909446566E-001  3.228382530054197E-001  5.506551412021974E-001  2.916077086704952E-002  3.426123794474264E+000
   168     1670  1.669999999999927E+000     1.622831963174175E-001  1.623761535682304E-001  3.227423214985782E-001  5.482985888054216E-001  2.914566429578213E-002  3.426774409317536E+000
   169     1680  1.679999999999926E+000     1.624150268069858E-001  1.624175964006209E-001  3.226492919623838E-001  5.459644752853069E-001  2.913102980755377E-002  3.427404874254505E+000
   170     1690  1.689999999999925E+000     1.625446491746455E-001  1.624586233080407E-001  3.225590766197493E-001  5.436526084745378E-001  2.911685178993905E-002  3.428015849990656E+000
   171     1700  1.699999999999924E+000     1.626721084452539E-001  1.624992381406977E-001  3.224715904003953E-001  5.413627971203276E-001  2.910311522727985E-002  3.428607971694795E+000
   172     1710  1.709999999999922E+000     1.627974486584039E-001  1.625394447321058E-001  3.223867508545395E-001  5.390948509111453E-001  2.908980567148230E-002  3.429181850319377E+000
   173     1720  1.719999999999921E+000     1.629207128881053E-001  1.625792468984140E-001  3.223044780694688E-001  5.368485805015919E-001  2.907690921468237E-002  3.429738073829177E+000
   174     1730  1.729999999999920E+000     1.630419432622441E-001  1.626186484377545E-001  3.222246945888956E-001  5.346237975355255E-001  2.906441246363837E-002  3.430277208345706E+000
   175     1740  1.739999999999919E+000     1.631611809818061E-001  1.626576531296093E-001  3.221473253349938E-001  5.324203146675484E-001  2.905230251571960E-002  3.430799799214260E+000
   176     1750  1.749999999999918E+000     1.632784663398568E-001  1.626962647341977E-001  3.220722975330277E-001  5.302379455829431E-001  2.904056693637099E-002  3.431306371999804E+000
   177     1760  1.759999999999917E+000     1.633938387402718E-001  1.627344869918846E-001  3.219995406384748E-001  5.280765050161536E-001  2.902919373794336E-002  3.431797433417456E+000
   178     1770  1.769999999999916E+000     1.635073367162076E-001  1.627723236226094E-001  3.219289862665577E-001  5.259358087678855E-001  2.901817135978796E-002  3.432273472202801E+000
   179     1780  1.779999999999915E+000     1.636189979483103E-001  1.628097783253374E-001  3.218605681241035E-001  5.238156737209149E-001  2.900748864952170E-002  3.432734959926837E+000
   180     1790  1.789999999999914E+000     1.637288592826560E-001  1.628468547775326E-001  3.217942219436437E-001  5.217159178546673E-001  2.899713484537789E-002  3.433182351759951E+000
   181     1800  1.799999999999913E+000     1.638369567484189E-001  1.628835566346535E-001  3.217298854196822E-001  5.196363602586430E-001  2.898709955956307E-002  3.433616087188921E+000
   182     1810  1.809999999999911E+000     1.639433255752643E-001  1.629198875296715E-001  3.216674981470520E-001  5.175768211447475E-001  2.897737276254812E-002  3.434036590690646E+000
   183     1820  1.819999999999910E+000     1.640480002104636E-001  1.629558510726120E-001  3.216070015612897E-001  5.155371218585867E-001  2.896794476822669E-002  3.434444272365922E+000
   184     1830  1.829999999999909E+000     1.641510143357312E-001  1.629914508501183E-001  3.215483388809596E-001  5.135170848897881E-001  2.895880621987987E-002  3.434839528536383E+000
   185     1840  1.839999999999908E+000     1.642524008837785E-001  1.630266904250392E-001  3.214914550518566E-001  5.115165338813927E-001  2.894994807689084E-002  3.435222742307374E+000
   186     1850  1.849999999999907E+000     1.643521920545885E-001  1.630615733360385E-001  3.214362966930273E-001  5.095352936383731E-001  2.894136160215770E-002  3.435594284099327E+000
   187     1860  1.859999999999906E+000     1.644504193314067E-001  1.630961030972282E-001  3.213828120445440E-001  5.075731901353190E-001  2.893303835015692E-002  3.435954512150014E+000
   188     1870  1.869999999999905E+000     1.645471134964522E-001  1.631302831978247E-001  3.213309509169733E-001  5.056300505233368E-001  2.892497015561332E-002  3.436303772989779E+000
   189     1880  1.879999999999904E+000     1.646423046463461E-001  1.631641171018257E-001  3.212806646424810E-001  5.037057031362041E-001  2.891714912273659E-002  3.436642401891766E+000
   190     1890  1.889999999999903E+000     1.647360222072612E-001  1.631976082477118E-001  3.212319060275168E-001  5.017999774958141E-001  2.890956761498691E-002  3.436970723298862E+000
   191     1900  1.899999999999902E+000     1.648282949497916E-001  1.632307600481682E-001  3.211846293070276E-001  4.999127043169497E-001  2.890221824533539E-002  3.437289051229087E+000
   192     1910  1.909999999999900E+000     1.649191510035458E-001  1.632635758898291E-001  3.211387901001435E-001  4.980437155114203E-001  2.889509386698787E-002  3.437597689660850E+000
   193     1920  1.919999999999899E+000     1.650086178714632E-001  1.632960591330424E-001  3.210943453672924E-001  4.961928441915911E-001  2.888818756454295E-002  3.437896932899514E+000
   194     1930  1.929999999999898E+000     1.650967224438586E-001  1.633282131116562E-001  3.210512533686882E-001  4.943599246733402E-001  2.888149264555718E-002  3.438187065926489E+000
   195     1940  1.939999999999897E+000     1.651834910121938E-001  1.633600411328249E-001  3.210094736241533E-001  4.925447924784659E-001  2.887500263249273E-002  3.438468364732025E+000
   196     1950  1.949999999999896E+000     1.652689492825817E-001  1.633915464768356E-001  3.209689668742251E-001  4.907472843365775E-001  2.886871125502450E-002  3.438741096632773E+000
   197     1960  1.959999999999895E+000     1.653531223890228E-001  1.634227323969538E-001  3.209296950425070E-001  4.889672381864902E-001  2.886261244268547E-002  3.439005520575059E+000
   198     1970  1.969999999999894E+000     1.654360349063795E-001  1.634536021192881E-001  3.208916211992194E-001  4.872044931771511E-001  2.885670031783059E-002  3.439261887424815E+000
   199     1980  1.979999999999893E+000     1.655177108630893E-001  1.634841588426728E-001  3.208547095259141E-001  4.854588896681193E-001  2.885096918890102E-002  3.439510440244930E+000
   200     1990  1.989999999999892E+000     1.655981737536205E-001  1.635144057385693E-001  3.208189252813100E-001  4.837302692296206E-001  2.884541354397194E-002  3.439751414560819E+000
   201     2000  1.999999999999891E+000     1.656774465506733E-001  1.635443459509838E-001  3.207842347682150E-001  4.820184746421986E-001  2.884002804456804E-002  3.439985038614899E+000
   202     2010  2.009999999999890E+000     1.657555517171308E-001  1.635739825964020E-001  3.207506053014978E-001  4.803233498959809E-001  2.883480751973235E-002  3.440211533610585E+000
   203     2020  2.019999999999889E+000     1.658325112177608E-001  1.636033187637404E-001  3.207180051770720E-001  4.786447401895804E-001  2.882974696033487E-002  3.440431113946448E+000
   204     2030  2.029999999999887E+000     1.659083465306739E-001  1.636323575143123E-001  3.206864036418655E-001  4.769824919286483E-001  2.882484151360827E-002  3.440643987441036E+000
   205     2040  2.039999999999886E+000     1.659830786585412E-001  1.636611018818099E-001  3.206557708647345E-001  4.753364527240968E-001  2.882008647789908E-002  3.440850355548884E+000
   206     2050  2.049999999999885E+000     1.660567281395732E-001  1.636895548722997E-001  3.206260779082976E-001  4.737064713900059E-001  2.881547729762341E-002  3.441050413568190E+000
   207     2060  2.059999999999884E+000     1.661293150582661E-001  1.637177194642326E-001  3.205972967016569E-001  4.720923979412320E-001  2.881100955841701E-002  3.441244350840564E+000
   208     2070  2.069999999999883E+000     1.662008590559172E-001  1.637455986084669E-001  3.205694000139767E-001  4.704940835907307E-001  2.880667898247013E-002  3.441432350943280E+000
   209     2080  2.079999999999882E+000     1.662713793409136E-001  1.637731952283037E-001  3.205423614288924E-001  4.689113807466100E-001  2.880248142403826E-002  3.441614591874389E+000
   210     2090  2.089999999999881E+000     1.663408946987974E-001  1.638005122195357E-001  3.205161553197235E-001  4.673441430089235E-001  2.879841286512044E-002  3.441791246231043E+000
   211     2100  2.099999999999880E+000     1.664094235021132E-001  1.638275524505060E-001  3.204907568254620E-001  4.657922251662228E-001  2.879446941129728E-002  3.441962481381366E+000
   212     2110  2.109999999999879E+000     1.664769837200372E-001  1.638543187621790E-001  3.204661418275131E-001  4.642554831918729E-001  2.879064728772149E-002  3.442128459630150E+000
   213     2120  2.119999999999878E+000     1.665435929277966E-001  1.638808139682217E-001  3.204422869271629E-001  4.627337742401504E-001  2.878694283525378E-002  3.442289338378684E+000
   214     2130  2.129999999999876E+000     1.666092683158793E-001  1.639070408550951E-001  3.204191694237487E-001  4.612269566421297E-001  2.878335250673794E-002  3.442445270278976E+000
   215     2140  2.139999999999875E+000     1.666740266990389E-001  1.639330021821542E-001  3.203967672935111E-001  4.597348899013701E-001  2.877987286340877E-002  3.442596403382597E+000
   216     2150  2.149999999999874E+000     1.667378845250990E-001  1.639587006817591E-001  3.203750591691040E-001  4.582574346894150E-001  2.877650057142727E-002  3.442742881284394E+000
   217     2160  2.159999999999873E+000     1.668008578835598E-001  1.639841390593919E-001  3.203540243197416E-001  4.567944528411110E-001  2.877323239853760E-002  3.442884843261302E+000
   218     2170  2.169999999999872E+000     1.668629625140103E-001  1.640093199937841E-001  3.203336426319626E-001  4.553458073497571E-001  2.877006521084069E-002  3.443022424406427E+000
   219     2180  2.179999999999871E+000     1.669242138143510E-001  1.640342461370501E-001  3.203138945909909E-001  4.539113623620936E-001  2.876699596967970E-002  3.443155755758639E+000
   220     2190  2.189999999999870E+000     1.669846268488296E-001  1.640589201148287E-001  3.202947612626741E-001  4.524909831731377E-001  2.876402172863272E-002  3.443284964427803E+000
   221     2200  2.199999999999869E+000     1.670442163558928E-001  1.640833445264306E-001  3.202762242759813E-001  4.510845362208757E-001  2.876113963060841E-002  3.443410173715875E+000
   222     2210  2.209999999999868E+000     1.671029967558596E-001  1.641075219449928E-001  3.202582658060410E-001  4.496918890808185E-001  2.875834690504043E-002  3.443531503233988E+000
   223     2220  2.219999999999867E+000     1.671609821584177E-001  1.641314549176388E-001  3.202408685577042E-001  4.483129104604287E-001  2.875564086517678E-002  3.443649069015700E+000
   224     2230  2.229999999999865E+000     1.672181863699471E-001  1.641551459656439E-001  3.202240157496130E-001  4.469474701934261E-001  2.875301890546038E-002  3.443762983626543E+000
   225     2240  2.239999999999864E+000     1.672746229006743E-001  1.641785975846063E-001  3.202076910987621E-001  4.455954392339790E-001  2.875047849899735E-002  3.443873356270015E+000
   226     2250  2.249999999999863E+000     1.673303049716616E-001  1.642018122446224E-001  3.201918788055325E-001  4.442566896507876E-001  2.874801719510950E-002  3.443980292890151E+000
   227     2260  2.259999999999862E+000     1.673852455216321E-001  1.642247923904663E-001  3.201765635391886E-001  4.429310946210658E-001  2.874563261696815E-002  3.444083896270792E+000
   228     2270  2.269999999999861E+000     1.674394572136370E-001  1.642475404417746E-001  3.201617304238182E-001  4.416185284244281E-001  2.874332245930596E-002  3.444184266131678E+000
   229     2280  2.279999999999860E+000     1.674929524415655E-001  1.642700587932334E-001  3.201473650247049E-001  4.403188664366866E-001  2.874108448620394E-002  3.444281499221474E+000
   230     2290  2.289999999999859E+000     1.675457433365032E-001  1.642923498147698E-001  3.201334533351175E-001  4.390319851235664E-001  2.873891652895104E-002  3.444375689407832E+000
   231     2300  2.299999999999858E+000     1.675978417729394E-001  1.643144158517461E-001  3.201199817635050E-001  4.377577620343407E-001  2.873681648397330E-002  3.444466927764619E+000
   232     2310  2.309999999999857E+000     1.676492593748299E-001  1.643362592251566E-001  3.201069371210812E-001  4.364960757953937E-001  2.873478231083057E-002  3.444555302656376E+000
   233     2320  2.319999999999856E+000     1.677000075215140E-001  1.643578822318278E-001  3.200943066097903E-001  4.352468061037157E-001  2.873281203027782E-002  3.444640899820129E+000
   234     2330  2.329999999999854E+000     1.677500973534932E-001  1.643792871446201E-001  3.200820778106391E-001  4.340098337203362E-001  2.873090372238916E-002  3.444723802444636E+000
   235     2340  2.339999999999853E+000     1.677995397780715E-001  1.644004762126318E-001  3.200702386723848E-001  4.327850404636970E-001  2.872905552474211E-002  3.444804091247142E+000
   236     2350  2.349999999999852E+000     1.678483454748614E-001  1.644214516614049E-001  3.200587775005674E-001  4.315723092029727E-001  2.872726563066016E-002  3.444881844547761E+000
   237     2360  2.359999999999851E+000     1.678965249011588E-001  1.644422156931328E-001  3.200476829468755E-001  4.303715238513408E-001  2.872553228751135E-002  3.444957138341521E+000
   238     2370  2.369999999999850E+000     1.679440882971888E-001  1.644627704868685E-001  3.200369439988354E-001  4.291825693592073E-001  2.872385379506126E-002  3.445030046368193E+000
   239     2380  2.379999999999849E+000     1.679910456912268E-001  1.644831181987352E-001  3.200265499698149E-001  4.280053317073892E-001  2.872222850387819E-002  3.445100640179949E+000
   240     2390  2.389999999999848E+000     1.680374069045945E-001  1.645032609621367E-001  3.200164904893272E-001  4.268396979002615E-001  2.872065481378901E-002  3.445168989206921E+000
   241     2400  2.399999999999847E+000     1.680831815565383E-001  1.645232008879690E-001  3.200067554936312E-001  4.256855559588681E-001  2.871913117238374E-002  3.445235160820753E+000
   242     2410  2.409999999999846E+000     1.681283790689879E-001  1.645429400648332E-001  3.199973352166158E-001  4.245427949140037E-001  2.871765607356739E-002  3.445299220396188E+000
   243     2420  2.419999999999844E+000     1.681730086712010E-001  1.645624805592471E-001  3.199882201809593E-001  4.234113047992676E-001  2.871622805615724E-002  3.445361231370766E+000
   244     2430  2.429999999999843E+000     1.682170794042956E-001  1.645818244158589E-001  3.199794011895573E-001  4.222909766440934E-001  2.871484570252433E-002  3.445421255302685E+000
   245     2440  2.439999999999842E+000     1.682606001256721E-001  1.646009736576599E-001  3.199708693172075E-001  4.211817024667593E-001  2.871350763727736E-002  3.445479351926902E+000
   246     2450  2.449999999999841E+000     1.683035795133286E-001  1.646199302861973E-001  3.199626159025479E-001  4.200833752673793E-001  2.871221252598781E-002  3.445535579209507E+000
   247     2460  2.459999999999840E+000     1.683460260700706E-001  1.646386962817872E-001  3.199546325402356E-001  4.189958890208791E-001  2.871095907395477E-002  3.445589993400445E+000
   248     2470  2.469999999999839E+000     1.683879481276191E-001  1.646572736037271E-001  3.199469110733629E-001  4.179191386699617E-001  2.870974602500833E-002  3.445642649084629E+000
   249     2480  2.479999999999838E+000     1.684293538506180E-001  1.646756641905074E-001  3.199394435861008E-001  4.168530201180608E-001  2.870857216035004E-002  3.445693599231491E+000
   250     2490  2.489999999999837E+000     1.684702512405435E-001  1.646938699600237E-001  3.199322223965639E-001  4.157974302222897E-001  2.870743629742941E-002  3.445742895243043E+000
   251     2500  2.499999999999836E+000     1.685106481395193E-001  1.647118928097873E-001  3.199252400498893E-001  4.147522667863833E-001  2.870633728885519E-002  3.445790587000459E+000
   252     2510  2.509999999999835E+000     1.685505522340366E-001  1.647297346171349E-001  3.199184893115239E-001  4.137174285536399E-001  2.870527402134024E-002  3.445836722909263E+000
   253     2520  2.519999999999833E+000     1.685899710585844E-001  1.647473972394384E-001  3.199119631607134E-001  4.126928151998612E-001  2.870424541467906E-002  3.445881349943128E+000
   254     2530  2.529999999999832E+000     1.686289119991908E-001  1.647648825143129E-001  3.199056547841846E-001  4.116783273262953E-001  2.870325042075672E-002  3.445924513686376E+000
   255     2540  2.539999999999831E+000     1.686673822968764E-001  1.647821922598242E-001  3.198995575700191E-001  4.106738664525840E-001  2.870228802258836E-002  3.445966258375170E+000
   256     2550  2.549999999999830E+000     1.687053890510239E-001  1.647993282746950E-001  3.198936651017086E-001  4.096793350097152E-001  2.870135723338809E-002  3.446006626937479E+000
   257     2560  2.559999999999829E+000     1.687429392226647E-001  1.648162923385097E-001  3.198879711523898E-001  4.086946363329844E-001  2.870045709566655E-002  3.446045661031827E+000
   258     2570  2.569999999999828E+000     1.687800396376842E-001  1.648330862119186E-001  3.198824696792492E-001  4.077196746549650E-001  2.869958668035602E-002  3.446083401084889E+000
   259     2580  2.579999999999827E+000     1.688166969899485E-001  1.648497116368404E-001  3.198771548180968E-001  4.067543550984910E-001  2.869874508596233E-002  3.446119886327934E+000
   260     2590  2.589999999999826E+000     1.688529178443547E-001  1.648661703366629E-001  3.198720208781016E-001  4.057985836696527E-001  2.869793143774261E-002  3.446155154832196E+000
   261     2600  2.599999999999825E+000     1.688887086398047E-001  1.648824640164436E-001  3.198670623366829E-001  4.048522672508057E-001  2.869714488690816E-002  3.446189243543171E+000
   262     2610  2.609999999999824E+000     1.689240756921074E-001  1.648985943631074E-001  3.198622738345555E-001  4.039153135935986E-001  2.869638460985162E-002  3.446222188313883E+000
   263     2620  2.619999999999822E+000     1.689590251968072E-001  1.649145630456439E-001  3.198576501709198E-001  4.029876313120166E-001  2.869564980739755E-002  3.446254023937157E+000
   264     2630  2.629999999999821E+000     1.689935632319449E-001  1.649303717153023E-001  3.198531862987987E-001  4.020691298754446E-001  2.869493970407586E-002  3.446284784176926E+000
   265     2640  2.639999999999820E+000     1.690276957607489E-001  1.649460220057856E-001  3.198488773205094E-001  4.011597196017508E-001  2.869425354741725E-002  3.446314501798596E+000
   266     2650  2.649999999999819E+000     1.690614286342600E-001  1.649615155334427E-001  3.198447184832730E-001  4.002593116503921E-001  2.869359060727000E-002  3.446343208598512E+000
   267     2660  2.659999999999818E+000     1.690947675938927E-001  1.649768538974585E-001  3.198407051749518E-001  3.993678180155422E-001  2.869295017513745E-002  3.446370935432538E+000
   268     2670  2.669999999999817E+000     1.691277182739317E-001  1.649920386800436E-001  3.198368329199148E-001  3.984851515192429E-001  2.869233156353551E-002  3.446397712243781E+000
   269     2680  2.679999999999816E+000     1.691602862039670E-001  1.650070714466206E-001  3.198330973750252E-001  3.976112258045824E-001  2.869173410536953E-002  3.446423568089489E+000
   270     2690  2.689999999999815E+000     1.691924768112696E-001  1.650219537460102E-001  3.198294943257471E-001  3.967459553288979E-001  2.869115715333002E-002  3.446448531167158E+000
   271     2700  2.699999999999814E+000     1.692242954231075E-001  1.650366871106148E-001  3.198260196823670E-001  3.958892553570065E-001  2.869060007930663E-002  3.446472628839846E+000
   272     2710  2.709999999999813E+000     1.692557472690055E-001  1.650512730566004E-001  3.198226694763280E-001  3.950410419544623E-001  2.869006227381957E-002  3.446495887660743E+000
   273     2720  2.719999999999811E+000     1.692868374829474E-001  1.650657130840772E-001  3.198194398566712E-001  3.942012319808456E-001  2.868954314546839E-002  3.446518333397004E+000
   274     2730  2.729999999999810E+000     1.693175711055257E-001  1.650800086772778E-001  3.198163270865845E-001  3.933697430830791E-001  2.868904212039708E-002  3.446539991052888E+000
   275     2740  2.739999999999809E+000     1.693479530860371E-001  1.650941613047342E-001  3.198133275400508E-001  3.925464936887755E-001  2.868855864177547E-002  3.446560884892183E+000
   276     2750  2.749999999999808E+000     1.693779882845262E-001  1.651081724194524E-001  3.198104376985967E-001  3.917314029996175E-001  2.868809216929593E-002  3.446581038459997E+000
   277     2760  2.759999999999807E+000     1.694076814737787E-001  1.651220434590862E-001  3.198076541481373E-001  3.909243909847678E-001  2.868764217868534E-002  3.446600474603872E+000
   278     2770  2.769999999999806E+000     1.694370373412661E-001  1.651357758461077E-001  3.198049735759138E-001  3.901253783743142E-001  2.868720816123156E-002  3.446619215494303E+000
   279     2780  2.779999999999805E+000     1.694660604910412E-001  1.651493709879779E-001  3.198023927675202E-001  3.893342866527468E-001  2.868678962332410E-002  3.446637282644620E+000
   280     2790  2.789999999999804E+000     1.694947554455880E-001  1.651628302773135E-001  3.197999086040202E-001  3.885510380524692E-001  2.868638608600856E-002  3.446654696930299E+000
   281     2800  2.799999999999803E+000     1.695231266476243E-001  1.651761550920538E-001  3.197975180591474E-001  3.877755555473453E-001  2.868599708455422E-002  3.446671478607700E+000
   282     2810  2.809999999999802E+000     1.695511784618620E-001  1.651893467956244E-001  3.197952181965870E-001  3.870077628462796E-001  2.868562216803475E-002  3.446687647332243E+000
   283     2820  2.819999999999800E+000     1.695789151767219E-001  1.652024067370996E-001  3.197930061673399E-001  3.862475843868348E-001  2.868526089892122E-002  3.446703222176054E+000
   284     2830  2.829999999999799E+000     1.696063410060077E-001  1.652153362513632E-001  3.197908792071628E-001  3.854949453288850E-001  2.868491285268730E-002  3.446718221645090E+000
   285     2840  2.839999999999798E+000     1.696334600905377E-001  1.652281366592674E-001  3.197888346340839E-001  3.847497715483049E-001  2.868457761742628E-002  3.446732663695751E+000
   286     2850  2.849999999999797E+000     1.696602764997371E-001  1.652408092677897E-001  3.197868698459915E-001  3.840119896306971E-001  2.868425479347934E-002  3.446746565751011E+000
   287     2860  2.859999999999796E+000     1.696867942331910E-001  1.652533553701885E-001  3.197849823182938E-001  3.832815268651560E-001  2.868394399307501E-002  3.446759944716064E+000
   288     2870  2.869999999999795E+000     1.697130172221586E-001  1.652657762461563E-001  3.197831696016470E-001  3.825583112380695E-001  2.868364483997924E-002  3.446772816993514E+000
   289     2880  2.879999999999794E+000     1.697389493310508E-001  1.652780731619717E-001  3.197814293197506E-001  3.818422714269595E-001  2.868335696915587E-002  3.446785198498127E+000
   290     2890  2.889999999999793E+000     1.697645943588714E-001  1.652902473706495E-001  3.197797591672066E-001  3.811333367943603E-001  2.868308002643718E-002  3.446797104671123E+000
   291     2900  2.899999999999792E+000     1.697899560406229E-001  1.653023001120894E-001  3.197781569074425E-001  3.804314373817358E-001  2.868281366820421E-002  3.446808550494077E+000
   292     2910  2.909999999999791E+000     1.698150380486777E-001  1.653142326132218E-001  3.197766203706948E-001  3.797365039034356E-001  2.868255756107651E-002  3.446819550502388E+000
   293     2920  2.919999999999789E+000     1.698398439941159E-001  1.653260460881534E-001  3.197751474520509E-001  3.790484677406905E-001  2.868231138161113E-002  3.446830118798362E+000
   294     2930  2.929999999999788E+000     1.698643774280300E-001  1.653377417383102E-001  3.197737361095491E-001  3.783672609356484E-001  2.868207481601048E-002  3.446840269063915E+000
   295     2940  2.939999999999787E+000     1.698886418427986E-001  1.653493207525794E-001  3.197723843623349E-001  3.776928161854478E-001  2.868184755983879E-002  3.446850014572892E+000
   296     2950  2.949999999999786E+000     1.699126406733278E-001  1.653607843074487E-001  3.197710902888699E-001  3.770250668363325E-001  2.868162931774700E-002  3.446859368203032E+000
   297     2960  2.959999999999785E+000     1.699363772982633E-001  1.653721335671451E-001  3.197698520251934E-001  3.763639468778066E-001  2.868141980320577E-002  3.446868342447577E+000
   298     2970  2.969999999999784E+000     1.699598550411722E-001  1.653833696837712E-001  3.197686677632360E-001  3.757093909368289E-001  2.868121873824628E-002  3.446876949426541E+000
   299     2980  2.979999999999783E+000     1.699830771716967E-001  1.653944937974404E-001  3.197675357491809E-001  3.750613342720486E-001  2.868102585320887E-002  3.446885200897656E+000
   300     2990  2.989999999999782E+000     1.700060469066794E-001  1.654055070364101E-001  3.197664542818745E-001  3.744197127680796E-001  2.868084088649882E-002  3.446893108266988E+000
   301     3000  2.999999999999781E+000     1.700287674112614E-001  1.654164105172138E-001  3.197654217112832E-001  3.737844629298175E-001  2.868066358434954E-002  3.446900682599239E+000
